transaction_id,customer_id,amount,category,timestamp
1,93,73.75870008043299,online,2023-01-01 00:00:00
2,944,23.978618916138284,restaurant,2023-01-01 01:00:00
3,239,152.20178185857336,gas,2023-01-01 02:00:00
4,205,22.784896172696207,gas,2023-01-01 03:00:00
5,560,30.199962090754994,retail,2023-01-01 04:00:00
6,433,9.709317820506866,restaurant,2023-01-01 05:00:00
7,245,50.98798695173193,retail,2023-01-01 06:00:00
8,832,54.28827118857442,restaurant,2023-01-01 07:00:00
9,317,72.27032709226616,gas,2023-01-01 08:00:00
10,925,123.43092259600547,retail,2023-01-01 09:00:00
11,295,236.55347829172086,online,2023-01-01 10:00:00
12,640,14.819158591778328,restaurant,2023-01-01 11:00:00
13,856,5.588074630342274,gas,2023-01-01 12:00:00
14,282,1.8705088078974677,grocery,2023-01-01 13:00:00
15,17,15.50426852928214,restaurant,2023-01-01 14:00:00
16,71,107.27968504335496,restaurant,2023-01-01 15:00:00
17,269,130.0032550972463,online,2023-01-01 16:00:00
18,325,154.4145207927388,restaurant,2023-01-01 17:00:00
19,794,27.93280141777037,restaurant,2023-01-01 18:00:00
20,305,36.5131764054693,online,2023-01-01 19:00:00
21,451,65.99728746900338,online,2023-01-01 20:00:00
22,7,6.526742337318163,retail,2023-01-01 21:00:00
23,314,94.45398144420341,gas,2023-01-01 22:00:00
24,817,411.87417895021116,gas,2023-01-01 23:00:00
25,103,44.75477584492862,retail,2023-01-02 00:00:00
26,821,139.77496231833715,gas,2023-01-02 01:00:00
27,193,69.3215013999797,restaurant,2023-01-02 02:00:00
28,753,13.675010353312,retail,2023-01-02 03:00:00
29,574,87.28420672005451,retail,2023-01-02 04:00:00
30,529,35.649534355936744,gas,2023-01-02 05:00:00
31,171,3.5008931960609737,grocery,2023-01-02 06:00:00
32,537,100.76654237039264,gas,2023-01-02 07:00:00
33,251,195.85157116441502,grocery,2023-01-02 08:00:00
34,765,42.2768604192637,retail,2023-01-02 09:00:00
35,387,49.478094285208044,grocery,2023-01-02 10:00:00
